source_code,source_display
WX200,Interscalenous plexus blockade
WX100,Conjunctival surface anesthesia
WX300,Cervicalepidural anesthesy
WX000,Monitoring vital functions without anesthesy
WX402,General anesthesis
WX600,Single shot through catheter
WX602,Repeated or continuing anesthesia shots throug a catheter
WX001,Sedation and analgesia without medication/drugs
WX302,Thoracal epidural anesthesy
WX105,Surface anesthesy of skin or  muscosa
WX202,Supraclavicular plexus blockade
WX203,Infraclavicular plexus blockade
WX306,Lumbar epidural anesthesy
WX002,Sedation and analgesia
WX610,Patient controlled analgesia
WX004,Patient-controlled sedation 
WX307,Epidural anesthesy in labour
WX110,Local anesthesy
WX204,Axillary plexus blockaced
WX210,Plexus blockade of nervus ichiadicus
WX111,Local infiltration anesthesia
WX308,Sacral anesthesy
WX320,Spinalanesthesy
WX120,Intravenous local anesthesy of arm
WX212,Femoral plexus blockade
WX213,Popliteal blockade
WX124,Intravenous local anesthesy of leg
WX321,Acute spinal anesthesia for delivery
WX130,Interpleural anesthesia
WX214,Plexus blockade at the ankle
WX220,Ilioinguinal plexus blockade
WX140,Parabulbar anesthesy
WX330,Paravertebral ansthesia
WX142,Sub-tenon anesthesy
WX222,Iliohypogastic blockade
WX224,Blockade of obturius nerve
WX144,Subconjunctival anesthesy
WX199,Other local anesthesia
WX230,Plexus blockade of nervus pudendus
WX234,Paracervical blockade
WX240,Penis blockade
WX250,Intercostal blockade
WX290,Other blockade of nerve
