source_code,source_system,source_display
449868002,http://snomed.info/sct,Current every day smoker
428041000124106,http://snomed.info/sct,Current some day smoker
8517006,http://snomed.info/sct,Former smoker
266919005,http://snomed.info/sct,Never smoker
77176002,http://snomed.info/sct,"Smoker, current status unknown"
266927001,http://snomed.info/sct,Unknown if ever smoked
428071000124103,http://snomed.info/sct,Current Heavy tobacco smoker
428061000124105,http://snomed.info/sct,Current Light tobacco smoker
LA28391-3,http://loinc.org,Current every day user
LA28392-1,http://loinc.org,Current some day user
"	LA28393-9",http://loinc.org,Former user
"	LA4519-0",http://loinc.org,Never used
"	LA4489-6",http://loinc.org,Unknown
88031-0 ,http://loinc.org,Other nicotin products use
11331-6,http://loinc.org,Alcohol use
11343-1,http://loinc.org,Illicit drug use
