source_code,source_display
neuropath,Neuropath Device
garmin,Garmin wearable
mds-updrs,MDS-UPDRS Questionnaire
updrs3,UPDRS v3 Questionnaire
pkg-ptt,"Parkinson KinetiGraph Percent Time Tremor (PTT) Score"
pkg-dks,"Parkinson KinetiGraph Dyskenizia Score (DKS)"
pkg-fds,"Parkinson KinetiGraph Fluctuation Score (FDS)"
pkg-bks,"Parkinson KinetiGraph Bradykinesia score (BKS)"
pkg-pti,"Parkinson KinetiGraph Percent Time Immobility (PTI)"
nfog-q,"New Freezing of Gait Questionnaire"
nms,"Non Motor Symptom (NMS) Questionnaire"
nmss,"Non-Motor Symptoms Scale for Parkinson's Disease (NMSS)"
health-village,"Health Village Symptom Questionnaire"
mds-nms,"MDS Non Motor Symptom Scale"
updrs4,"MDS-UPDRS4 Questionnaire"
